Kd_Kecamatan,Kd_Kota,NamaKecamatan,Created_at,Modified_at,Delete_at
1106062,1106,CELALA,2022-08-22 10:19:08.316474,,
1106063,1106,RUSIP ANTARA,2022-08-22 10:19:08.316474,,
1107050,1107,JOHAN PAHLAWAN,2022-08-22 10:19:08.316474,,
1107060,1107,SAMATIGA,2022-08-22 10:19:08.316474,,
1107061,1107,BUBON,2022-08-22 10:19:08.316474,,
1107062,1107,ARONGAN LAMBALEK,2022-08-22 10:19:08.316474,,
1107070,1107,WOYLA,2022-08-22 10:19:08.316474,,
1107071,1107,WOYLA BARAT,2022-08-22 10:19:08.316474,,
1107072,1107,WOYLA TIMUR,2022-08-22 10:19:08.316474,,
1107080,1107,KAWAY XVI,2022-08-22 10:19:08.316474,,
1107081,1107,MEUREUBO,2022-08-22 10:19:08.316474,,
1107082,1107,PANTAI CEUREMEN,2022-08-22 10:19:08.316474,,
1107083,1107,PANTON REU,2022-08-22 10:19:08.316474,,
1107090,1107,SUNGAI MAS,2022-08-22 10:19:08.316474,,
1108010,1108,LHOONG,2022-08-22 10:19:08.316474,,
1108020,1108,LHOKNGA,2022-08-22 10:19:08.316474,,
1108021,1108,LEUPUNG,2022-08-22 10:19:08.316474,,
1108030,1108,INDRAPURI,2022-08-22 10:19:08.316474,,
1108031,1108,KUTA COT GLIE,2022-08-22 10:19:08.316474,,
1108040,1108,SEULIMEUM,2022-08-22 10:19:08.316474,,
1108041,1108,KOTA JANTHO,2022-08-22 10:19:08.316474,,
1108042,1108,LEMBAH SEULAWAH,2022-08-22 10:19:08.316474,,
1108050,1108,MESJID RAYA,2022-08-22 10:19:08.316474,,
1108060,1108,DARUSSALAM,2022-08-22 10:19:08.316474,,
1108061,1108,BAITUSSALAM,2022-08-22 10:19:08.316474,,
1108070,1108,KUTA BARO,2022-08-22 10:19:08.316474,,
1108080,1108,MONTASIK,2022-08-22 10:19:08.316474,,
1108081,1108,BLANG BINTANG,2022-08-22 10:19:08.316474,,
1108090,1108,INGIN JAYA,2022-08-22 10:19:08.316474,,
1108091,1108,KRUENG BARONA JAYA,2022-08-22 10:19:08.316474,,
1108100,1108,SUKA MAKMUR,2022-08-22 10:19:08.316474,,
1108101,1108,KUTA MALAKA,2022-08-22 10:19:08.316474,,
1108102,1108,SIMPANG TIGA,2022-08-22 10:19:08.316474,,
1108110,1108,DARUL IMARAH,2022-08-22 10:19:08.316474,,
1108111,1108,DARUL KAMAL,2022-08-22 10:19:08.316474,,
1108120,1108,PEUKAN BADA,2022-08-22 10:19:08.316474,,
1108130,1108,PULO ACEH,2022-08-22 10:19:08.316474,,
1109010,1109,GEUMPANG,2022-08-22 10:19:08.316474,,
1109011,1109,MANE,2022-08-22 10:19:08.316474,,
1109070,1109,GLUMPANG TIGA,2022-08-22 10:19:08.316474,,
1109071,1109,GLUMPANG BARO,2022-08-22 10:19:08.316474,,
1109080,1109,MUTIARA,2022-08-22 10:19:08.316474,,
1109081,1109,MUTIARA TIMUR,2022-08-22 10:19:08.316474,,
1109090,1109,TIRO/TRUSEB,2022-08-22 10:19:08.316474,,
1109100,1109,TANGSE,2022-08-22 10:19:08.316474,,
1109111,1109,KEUMALA,2022-08-22 10:19:08.316474,,
1109112,1109,TITEUE,2022-08-22 10:19:08.316474,,
1109120,1109,SAKTI,2022-08-22 10:19:08.316474,,
1109130,1109,MILA,2022-08-22 10:19:08.316474,,
1109140,1109,PADANG TIJI,2022-08-22 10:19:08.316474,,
1109150,1109,DELIMA,2022-08-22 10:19:08.316474,,
1109151,1109,GRONG GRONG,2022-08-22 10:19:08.316474,,
1109160,1109,INDRAJAYA,2022-08-22 10:19:08.316474,,
1109170,1109,PEUKAN BARO,2022-08-22 10:19:08.316474,,
1109180,1109,KEMBANG TANJONG,2022-08-22 10:19:08.316474,,
1109190,1109,SIMPANG TIGA,2022-08-22 10:19:08.316474,,
1109200,1109,KOTA SIGLI,2022-08-22 10:19:08.316474,,
1109210,1109,PIDIE,2022-08-22 10:19:08.316474,,
